product_name,product_link_name,link,major_category_name,major_category_link
WASTEBASKETS,WASTEBASKETS,https://www.canadiantire.ca/en/household-pets/cleaning-supplies-vacuums/garbage-cans-bags/wastebaskets.html?adlocation=LIT_Category_Product_WastebasketsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
BATHROOM SCALES,BATHROOM SCALES,https://www.canadiantire.ca/en/household-pets/bathroom/bathroom-scales.html?adlocation=LIT_Category_Product_BathroomScalesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
BATHROOM VANITIES,BATHROOM VANITIES,https://www.canadiantire.ca/en/household-pets/bathroom/bathroom-furniture/bathroom-vanities.html?adlocation=LIT_BathroomFurniture_BathroomVanities_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TOILETS,TOILETS,https://www.canadiantire.ca/en/household-pets/bathroom/toilets.html?adlocation=LIT_Category_Product_Toilets_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CAMPING & HIKING BAGS,CAMPING & HIKING BAGS,https://www.canadiantire.ca/en/household-pets/luggage-travel-accessories/backpacks/camping-hiking-backpacks.html?adlocation=LIT_279x217_Playing_Backpacks_CampingHikingBackpacks_17335_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CASUAL BACKPACKS & DAYPACKS,CASUAL BACKPACKS & DAYPACKS,https://www.canadiantire.ca/en/household-pets/luggage-travel-accessories/backpacks/casual-backpacks-daypacks.html?adlocation=LIT_279x217_Playing_Backpacks_DayPacks_17335_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
LUGGAGE & SUITCASES,LUGGAGE & SUITCASES,https://www.canadiantire.ca/en/household-pets/luggage-travel-accessories/luggage.html?adlocation=LIT_Category_Product_LuggageCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TRAVEL PILLOWS & BLANKETS,TRAVEL PILLOWS & BLANKETS,https://www.canadiantire.ca/en/household-pets/luggage-travel-accessories/travel-accessories/pillows-blankets.html?adlocation=LIT_Category_Product_TravelPillowsBlanketsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
LUGGAGE LOCKS & STRAPS,LUGGAGE LOCKS & STRAPS,https://www.canadiantire.ca/en/household-pets/luggage-travel-accessories/travel-accessories/locks-straps.html?adlocation=LIT_Category_Product_LuggageLocksStrapsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CAR SEATS & ACCESSORIES,CAR SEATS & ACCESSORIES,https://www.canadiantire.ca/en/household-pets/baby/car-seats-accessories.html?adlocation=LIT_BabyLP_CarSeatsAccessories_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
STROLLERS & ACCESSORIES,STROLLERS & ACCESSORIES,https://www.canadiantire.ca/en/household-pets/baby/strollers-travel/strollers-accessories.html?adlocation=LIT_Category_Product_StrollersAndAccessoriesCat_TravelStrollers_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
BABY GATES,BABY GATES,https://www.canadiantire.ca/en/household-pets/baby/baby-proofing-home-safety/gates.html?adlocation=LIT_BabyProofingHomeSafety_BabyGates_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
BASSINETS,BASSINETS,https://www.canadiantire.ca/en/household-pets/baby/nursery-bedding-furniture-decor/bassinets.html?adlocation=LIT_Category_Bassinets_NurseryBeddingFurnitureDecor_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HIGH CHAIRS & BOOSTER SEATS,HIGH CHAIRS & BOOSTER SEATS,https://www.canadiantire.ca/en/household-pets/baby/feeding-essentials/high-chair-booster-seats.html?adlocation=LIT_Category_Product_HighChairsBoosterSeats_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
BATHROOM EXHAUST FANS,BATHROOM EXHAUST FANS,https://www.canadiantire.ca/en/household-pets/home-ventilation/bathroom-exhaust-fans.html?adlocation=LIT_Category_Product_BathroomExhaustFansCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
RANGE HOODS,RANGE HOODS,https://www.canadiantire.ca/en/household-pets/home-ventilation/range-hoods-filters/range-hoods.html?adlocation=LIT-range-hoods_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
REGISTERS & GRILLS,REGISTERS & GRILLS,https://www.canadiantire.ca/en/household-pets/home-ventilation/registers-grills.html?adlocation=LIT_Category_Product_RegistersGrillsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"ELECTRONIC DOOR LOCKS, KEYPAD & SMART LOCKS","ELECTRONIC DOOR LOCKS, KEYPAD & SMART LOCKS",https://www.canadiantire.ca/en/tools-hardware/hardware/door-hardware-accessories/door-locks-handles/electronic-door-locks-handles.html?adlocation=LIT_279X217-house&home-exterior-door-locks_ElectronicDoorLocks_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
